Airport,LatLong
KDPA,41.8965 -88.2512
KDPG,40.1838 -112.9217
KAXS,34.6986 -99.3381
KTXK,33.4537 -93.9910
KIXD,38.8309 -94.8903
KGTU,30.6808 -97.6767
KGTR,33.4503 -88.5914
KIXA,36.3300 -77.6350
KRTN,36.7418 -104.5076
KFSK,37.7984 -94.7694
KRTS,39.6682 -119.8764
KGTB,44.0556 -75.7195
KSNL,35.3573 -96.9428
KSNK,32.6934 -100.9505
KPTS,37.4495 -94.7311
KSNC,41.3839 -72.5059
KHUM,29.5634 -90.6628
KSNY,41.0994 -102.9856
KSNT,44.1708 -114.9272
KSNS,36.6636 -121.6081
KNBG,29.8374 -90.0245
KAWH,41.6667 -115.7833
KASW,41.2747 -85.8401
KN03,42.5926 -76.2149
KPVJ,34.7111 -97.2233
KPVC,42.0744 -70.2182
KPVB,42.6909 -90.4412
KPVG,36.7801 -76.4488
KPVF,38.7242 -120.7533
KPVD,41.7225 -71.4325
KPVW,34.1681 -101.7173
KPVU,40.2192 -111.7234
KAJZ,38.7869 -108.0658
KNFG,33.3013 -117.3551
KCBK,39.4300 -101.0511
KLVS,35.6558 -105.1385
KCBM,33.6438 -88.4438
KUNU,43.4285 -88.7017
KNFL,39.4166 -118.7010
KIBM,41.1881 -103.6774
KCBE,39.6182 -78.7598
KCBF,41.2612 -95.7604
KNFJ,30.5069 -86.9597
KNFW,32.7810 -97.4365
KAJO,33.8977 -117.6024
KT43,27.9132 -97.2132
KLVN,44.6252 -93.2273
KLVM,45.6983 -110.4408
KUNI,39.2119 -82.2293
KLVK,37.6928 -121.8144
KAJG,38.6093 -87.7251
KASH,42.7798 -71.5141
K3DU,46.6667 -113.1500
KVIH,38.1319 -91.7653
KVIS,36.3135 -119.3884
KMXF,32.3829 -86.3658
KHUT,38.0655 -97.8606
KMXO,42.2204 -91.1604
KLDM,43.9625 -86.4079
KUXL,30.1314 -93.3761
KLDJ,40.6162 -74.2451
KJHW,42.1534 -79.2580
KHHR,33.9228 -118.3352
K1H2,39.0712 -88.5292
KDLN,45.2575 -112.5544
KXMR,28.4676 -80.5666
KDLH,46.8435 -92.1866
K42J,29.8448 -82.0475
KDLF,29.3665 -100.7847
KCNI,34.3122 -84.4222
KDLZ,40.2797 -83.1148
KDLS,45.6190 -121.1657
K3R7,30.2427 -92.6735
KSVN,32.0100 -81.1457
KFLP,36.2925 -92.5851
KAXO,29.2500 -89.9660
KOBE,27.2663 -80.8487
K08D,48.3008 -102.4064
KMJX,39.9275 -74.2924
KIEN,43.0206 -102.5183
KMJQ,43.6496 -94.9884
KTWM,47.0492 -91.7450
KORH,42.2706 -71.8731
K8D3,45.6689 -96.9914
KGUP,35.5086 -108.7932
KGUS,40.6481 -86.1521
KIYA,29.9761 -92.0825
KRWI,35.8502 -77.8952
KRWF,44.5483 -95.0804
KD39,45.7057 -94.9308
KIYK,35.6588 -117.8295
KPGV,35.6374 -77.3851
KGUC,38.5339 -106.9330
KRWV,30.5155 -96.7041
KPGA,36.9211 -111.4487
KPGD,26.9185 -81.9939
KGUN,41.4417 -104.3467
KTIF,41.9619 -100.5689
KIWA,33.3078 -111.6555
KGGP,40.7110 -86.3750
KMDH,37.7833 -89.2453
KIWD,46.5275 -90.1314
KMDT,40.1962 -76.7725
KTIW,47.2675 -122.5761
KGGI,41.7097 -92.7332
KMDW,41.7841 -87.7551
KMDQ,34.8614 -86.5572
KTIP,40.2895 -88.1473
KMDS,44.0160 -97.0860
KGGG,32.3840 -94.7115
KGGE,33.3117 -79.3196
KREO,42.5902 -117.8646
KYKM,46.5640 -120.5348
KYKN,42.9167 -97.3859
KEWR,40.6827 -74.1693
KEWB,41.6791 -70.9591
KEWN,35.0675 -77.0472
KEWK,38.0582 -97.2745
KPUW,46.7438 -117.1158
KMVY,41.3930 -70.6159
KRYN,32.1422 -111.1746
KRYT,39.7341 -77.4304
KRYV,43.1702 -88.7250
KRYW,30.4967 -97.9659
KPUB,38.2887 -104.5057
KPUC,39.6089 -110.7555
KPUM,41.0520 -105.4694
KPUJ,33.9120 -84.9410
K27A,34.0950 -82.8158
K6B0,43.9855 -73.0955
KJES,31.5540 -81.8825
KCCO,33.3116 -84.7698
KUOX,34.3843 -89.5368
KCCA,35.5946 -92.4455
KNAK,38.9913 -76.4891
KCCY,43.0730 -92.6132
KLUA,38.6672 -78.5011
KLUF,33.5350 -112.3832
KLUD,33.2544 -97.5806
KLUK,39.1033 -84.4186
KCCU,39.4752 -106.1523
KLUM,44.8936 -91.8665
KHOP,36.6686 -87.4962
KCUT,43.7331 -103.6114
KHOT,34.4780 -93.0962
KHOU,29.6375 -95.2824
KDAG,34.8536 -116.7858
KEAR,40.7270 -99.0068
KCUH,35.9499 -96.7731
KEAU,44.8667 -91.4880
KEAT,47.3975 -120.2012
KHOB,32.6875 -103.2170
KHOE,31.0559 -82.7741
KCUB,33.9720 -80.9938
KFOK,40.8505 -72.6193
KSBM,43.7748 -87.8490
KFOA,38.6673 -88.4527
KFOD,42.5512 -94.1918
KFOE,38.9509 -95.6636
KFOZ,47.7832 -93.6533
KAYS,31.2504 -82.3957
KFOT,40.5530 -124.1334
KLCH,30.1256 -93.2277
KLCI,43.5727 -71.4189
KBMC,41.5524 -112.0622
KU42,40.6196 -111.9902
KLCG,42.2419 -96.9814
KJKJ,46.8404 -96.6544
KJKL,37.5913 -83.3137
K9D7,48.4800 -99.2360
KLCQ,30.1838 -82.5684
KNZY,32.6922 -117.2098
KJKA,30.2896 -87.6718
KDKK,42.4932 -79.2762
KDKB,41.9338 -88.7066
KBCT,26.3785 -80.1077
KZPH,28.2281 -82.1559
KBCK,44.2507 -90.8553
KT35,30.8794 -96.9711
KBCB,37.2076 -80.4078
KDKR,31.3097 -95.4039
KXLL,40.5704 -75.4894
KBCE,37.7013 -112.1490
KJYL,32.6453 -81.5971
KJYM,41.9197 -84.5853
KJYO,39.0780 -77.5575
KFYG,38.5876 -90.9938
KFYJ,37.5211 -76.7647
KJYG,43.9856 -94.5530
KAKH,35.1969 -81.1555
KSOA,30.5857 -100.6486
KAKQ,36.9827 -77.0014
K77M,42.3200 -113.3300
KAKR,41.0375 -81.4642
KSOW,34.2686 -110.0020
KSBA,34.4241 -119.8425
KJYR,40.8967 -97.6228
KSOP,35.2372 -79.3911
KBQK,31.2589 -81.4661
KBQP,32.7561 -91.8806
KVPZ,41.4535 -86.9981
KOCW,35.5705 -77.0498
KOCQ,44.8742 -87.9096
KOCH,31.5778 -94.7094
KOCF,29.1637 -82.2210
KGTF,47.4733 -111.3822
KMKJ,36.8949 -81.3499
KMKL,35.5931 -88.9167
KMKO,35.6577 -95.3658
KMKN,31.9240 -98.5977
KMKC,39.1209 -94.5972
KCXP,39.1906 -119.7319
KMKE,42.9550 -87.9044
KMKG,43.1711 -86.2367
KMKY,25.9950 -81.6725
KSBD,34.0903 -117.2471
KMKS,33.1855 -80.0362
KMKT,44.2228 -93.9193
KIFA,42.4708 -93.2700
KMYR,33.6797 -78.9283
KMYP,38.4844 -106.3169
KMYV,39.1021 -121.5688
KMYF,32.8157 -117.1396
KWDR,33.9829 -83.6674
KMYL,44.8942 -116.0998
K1II,39.3420 -86.0310
KTHA,35.3800 -86.2460
KRDR,47.9611 -97.4012
KAUG,44.3207 -69.7973
KMEB,34.7913 -79.3683
KRDU,35.8922 -78.7819
KMEM,35.0564 -89.9863
KMEI,32.3347 -88.7511
KMEH,45.5118 -118.4247
KRDG,40.3734 -75.9593
KMER,37.3805 -120.5682
KTHV,39.9194 -76.8769
KRDK,41.0107 -95.2624
KMEZ,34.5453 -94.2025
KRDM,44.2559 -121.1406
KGDB,44.7521 -95.5591
KCXO,30.3567 -95.4139
KWHP,34.2593 -118.4134
K4M9,36.4042 -90.6479
KGDJ,32.4444 -97.8169
KGDV,47.1387 -104.8072
KHKA,35.9404 -89.8308
KGDP,31.8331 -104.8098
KEPH,47.3076 -119.5159
K4MR,34.2950 -103.7860
KARB,42.2240 -83.7397
KSNA,33.6798 -117.8674
KD25,46.1204 -89.8802
KCRX,34.9150 -88.6035
KHNZ,36.3635 -78.5289
KIIB,42.4536 -91.9476
KCRP,27.7734 -97.5130
KEBG,26.4417 -98.1222
KCRS,32.0311 -96.3989
KCRV,40.0503 -105.5839
KCRW,38.3794 -81.5914
KHNB,38.2506 -86.9472
KCRE,33.8162 -78.7204
KCRG,30.3371 -81.5127
KFNT,42.9667 -83.7494
KAZO,42.2283 -85.5460
KAZC,36.9599 -113.0139
KAZE,31.8850 -82.6470
KFNB,40.0788 -95.5920
KFNL,40.4518 -105.0113
K96D,48.9402 -97.9053
KC75,41.0231 -89.3885
KTVR,32.3481 -91.0299
KTVL,38.8984 -119.9962
KTVK,40.6840 -92.9010
KTVI,30.9020 -83.8810
KTVF,48.0597 -96.1788
K0CO,39.7945 -105.7639
KTVC,44.7390 -85.5679
KLCK,39.8138 -82.9278
KIZA,34.6069 -120.0756
KIZG,43.9911 -70.9479
K14Y,45.9017 -94.8727
KLSF,32.3239 -84.9826
KGZL,35.2913 -95.0955
KGZH,31.4158 -87.0440
KRVS,36.0425 -95.9900
KSLK,44.3853 -74.2062
KALB,42.7472 -73.7991
KSLI,33.7963 -118.0418
KSLN,38.8042 -97.6488
KSLO,38.6446 -88.9612
KFXE,26.1990 -80.1776
KSLB,42.5972 -95.2399
KALI,27.7409 -98.0269
KALK,31.6056 -110.4281
KALM,32.8351 -105.9941
KALN,38.8897 -90.0316
KSLE,44.9049 -123.0010
KALS,37.4393 -105.8618
KALW,46.0946 -118.2858
KALX,32.9147 -85.9628
KFXY,43.2348 -93.6241
KACB,44.9867 -85.2022
KVYS,41.3518 -89.1496
KBPK,36.3689 -92.4705
KBPI,42.5780 -110.1097
KBPG,32.2126 -101.5216
KBPC,35.8890 -101.0300
KSGE,41.8191 -110.9740
KDEN,39.8466 -104.6562
KBPT,29.9521 -94.0261
KBPP,46.1870 -103.4281
KRXE,43.8321 -111.8075
KPTT,37.7017 -98.7469
KPTW,40.2380 -75.5549
KPTV,36.0296 -119.0627
KPTB,37.1838 -77.5074
KDEC,39.8308 -88.8719
KPTK,42.6632 -83.4101
KPTN,29.7095 -91.3390
KELD,33.2208 -92.8140
KY51,43.5814 -90.8997
KY50,44.0435 -89.3040
KELM,42.1599 -76.8916
KELN,47.0338 -120.5313
KELO,47.8245 -91.8307
KLTS,34.6665 -99.2681
KACP,30.7503 -92.6883
KT20,29.5291 -97.4643
KELP,31.8111 -106.3758
KELY,39.2953 -114.8466
KELZ,42.1078 -77.9842
KORL,28.5465 -81.3354
KBBD,31.1793 -99.3239
KBBG,36.5321 -93.2005
KMZZ,40.4899 -85.6797
KBBB,45.3310 -95.6469
KORD,41.9875 -87.9319
KORE,42.5700 -72.2869
KORF,36.9036 -76.1919
KORG,30.0692 -93.8036
KORB,48.0171 -92.8538
KORC,42.9895 -96.0606
KBBW,41.4365 -99.6385
KBBP,34.6217 -79.7344
KMZH,46.4163 -92.8049
KHWD,37.6589 -122.1211
KVKS,32.2393 -90.9284
KORS,48.7081 -122.9090
KLBL,37.0442 -100.9599
KLBB,33.6637 -101.8206
KLBF,41.1219 -100.6683
KLBE,40.2759 -79.4048
KLBX,29.1154 -95.4632
KUZA,34.9878 -81.0572
KLBR,33.5932 -95.0636
K1J0,30.8458 -85.6014
KLBT,34.6082 -79.0590
K40J,30.0719 -83.5736
KHSB,37.8128 -88.5449
KSZL,38.7303 -93.5479
KSZT,48.2994 -116.5600
K5R8,30.4412 -93.4735
KMDD,32.0365 -102.1010
KCMS,41.5323 -109.4604
K19A,34.1740 -83.5607
KUES,43.0425 -88.2461
KNFE,36.6950 -76.1356
KNXP,34.2940 -116.1472
KUNV,40.8534 -77.8401
KIGX,35.9350 -79.0659
KMTV,36.6272 -80.0133
KMTW,44.1288 -87.6806
KMTP,41.0730 -71.9235
KMTR,36.6005 -121.8714
KIGQ,41.5412 -87.5282
KIGM,35.2578 -113.9331
KVER,38.9467 -92.6827
KMTC,42.6046 -82.8353
KMTN,39.3215 -76.4065
KMTO,39.4743 -88.2723
KMTH,24.7263 -81.0477
KMTJ,38.5054 -107.8981
KTUS,32.1315 -110.9564
KTUP,34.2622 -88.7713
KLZK,34.8364 -92.2619
KTUL,36.1984 -95.8881
KI69,39.0784 -84.2102
KCBG,45.5628 -93.2644
KRIV,33.9000 -117.2500
KUBE,45.5060 -91.9810
KRIC,37.5115 -77.3234
KRIL,39.5279 -107.7196
KRIM,43.1000 -110.3200
KMFD,40.8203 -82.5178
KMFE,26.1758 -98.2386
KMFI,44.6381 -90.1875
KIIY,33.7797 -82.8164
KMFR,42.3750 -122.8770
KMFV,37.6469 -75.7611
KRGK,44.5926 -92.4844
KU24,39.3375 -112.5861
KGED,38.6897 -75.3624
KGEG,47.6214 -117.5278
KMSP,44.8854 -93.2313
KEQY,35.0147 -80.6242
KMIC,45.0625 -93.3508
KUNO,36.8792 -91.9052
K6R3,30.3564 -95.0080
KFSD,43.5769 -96.7536
KGEU,33.5281 -112.2926
KGEV,36.4324 -81.4197
KGEY,44.5174 -108.0752
KGEZ,39.5855 -85.7998
KFBL,44.3298 -93.3119
KCAR,46.8715 -68.0179
KCAV,42.7430 -93.7592
KHST,25.4949 -80.3732
KEMM,41.8241 -110.5570
KHSP,37.9514 -79.8339
KLSV,36.2362 -115.0343
KNCA,34.7063 -77.4407
KEMV,36.6869 -77.4828
KEMT,34.0860 -118.0348
KCAE,33.9423 -81.1180
KUIN,39.9371 -91.1966
KCAG,40.4930 -107.5239
KEMP,38.3289 -96.1939
KHSE,35.2322 -75.6225
KCAK,40.9181 -81.4434
KLSE,43.8792 -91.2530
KCAO,36.4483 -103.1537
KPEA,41.3989 -92.9431
KNQX,24.5801 -81.6829
KPEO,42.6439 -77.0530
KCSQ,41.0189 -94.3610
KCSV,35.9513 -85.0850
KECG,36.2577 -76.1716
KNQA,35.3567 -89.8703
KCSM,35.3567 -99.2036
KPEQ,31.3824 -103.5107
KNQI,27.5031 -97.8117
KECS,43.8854 -104.3179
KPEZ,28.9562 -98.5184
KPEX,45.3725 -94.7388
KFIT,42.5519 -71.7558
KHMN,32.8519 -106.1085
KHMM,46.2500 -114.1500
KVEL,40.4430 -109.5127
KDRM,46.0072 -83.7427
KFIG,41.0467 -78.4117
KHMZ,40.0853 -78.5122
KLAW,34.5575 -98.4167
KLAR,41.3165 -105.6729
KLAS,36.0719 -115.1634
KNMM,32.5521 -88.5556
KLAX,33.9382 -118.3865
KLAF,40.4124 -86.9474
KLAA,38.0718 -102.6874
KLAN,42.7762 -84.5997
KLAL,27.9889 -82.0186
KLAM,35.8789 -106.2621
KHNR,41.5844 -95.3397
KFUL,33.8720 -117.9798
KY63,45.9884 -95.9935
KXBP,33.1753 -97.8283
KJMR,45.8886 -93.2690
KJMS,46.9258 -98.6691
KUNR,44.0727 -103.2108
KDIJ,43.7450 -111.0912
KDIK,46.7973 -102.8019
KAMA,35.2202 -101.7173
KSMQ,40.6240 -74.6690
KSMP,47.2765 -121.3382
KSMS,33.9950 -80.3613
KO69,38.2578 -122.6053
KVES,40.2044 -84.5319
KAMN,43.3221 -84.6879
KSME,37.0513 -84.6168
KSMF,38.7007 -121.5948
KAMW,41.9905 -93.6185
KSMO,34.0210 -118.4471
KSMN,45.1238 -113.8813
KBKD,32.7190 -98.8910
KNSI,33.2338 -119.4559
KS47,45.4175 -123.8087
K21D,45.0002 -92.8549
KVDF,28.0198 -82.3415
KMUT,41.3670 -91.1406
KMQJ,39.8435 -85.8971
KVDI,32.1927 -82.3712
KOAJ,34.8251 -77.6189
KVDW,41.1566 -105.4033
KW43,44.6629 -104.5678
KMUO,43.0436 -115.8724
KMUL,31.1377 -83.7041
KMUI,40.4381 -76.5643
KVJI,36.6871 -82.0333
KBEA,28.3692 -97.7953
KBED,42.4681 -71.2946
KOSH,43.9670 -88.5581
KBEH,42.1290 -86.4151
KOSC,44.4515 -83.3942
KOSA,33.0956 -94.9614
KCQB,35.7238 -96.8203
KOSU,40.0781 -83.0781
KBKX,44.3048 -96.8169
KGBD,38.3443 -98.8592
K9V9,43.7659 -99.3216
KMGM,32.3003 -86.4061
KMGN,45.4256 -84.9133
KMGJ,41.5092 -74.2650
KMGE,33.9154 -84.5163
KCQM,47.8200 -92.6817
KIJX,39.7740 -90.2419
KMGC,41.7033 -86.8212
KRFI,32.1441 -94.8539
K2C8,48.7838 -97.6296
KMGY,39.5890 -84.2249
KIJD,41.7425 -72.1825
KMGW,39.6499 -79.9206
KRFD,42.1933 -89.0933
KMGR,31.0849 -83.8033
KEFK,44.8888 -72.2292
KERV,29.9767 -99.0855
KYNG,41.2544 -80.6739
KERI,42.0800 -80.1825
KGJT,39.1342 -108.5400
KCQV,48.5500 -117.8833
KRIW,43.0622 -108.4470
KEFC,44.7342 -103.8620
KI75,41.0522 -93.6897
KD07,45.0326 -102.0200
KEFD,29.6073 -95.1587
KPDC,43.0194 -91.1211
KPDK,33.8784 -84.2980
KNPA,30.3564 -87.3233
KPDT,45.6976 -118.8344
KPDX,45.5958 -122.6092
KFHR,48.5200 -123.0264
KHLC,39.3747 -99.8297
KCPC,34.2753 -78.7146
KHLG,40.1750 -80.6463
K0A9,36.3712 -82.1734
KCPK,36.6656 -76.3206
KHLN,46.6044 -111.9892
KCPW,37.4514 -106.8003
KCPT,32.3537 -97.4338
KHLR,31.1387 -97.7145
KCPR,42.8975 -106.4731
KCPS,38.5640 -90.1487
KHLX,36.7661 -80.8236
KHFF,35.0366 -79.4973
KRHV,37.3329 -121.8198
KGXY,40.4374 -104.6332
KTTA,35.5825 -79.1014
KSLR,33.1615 -95.6189
KRHP,35.1939 -83.8618
KTTN,40.2768 -74.8159
KSIY,41.7737 -122.4682
KTTS,28.6150 -80.6945
KGXA,34.5666 -117.6704
KGXF,32.8875 -112.7200
KRHI,45.6317 -89.4822
KANJ,46.4794 -84.3572
KANK,38.5388 -106.0494
KANE,45.1426 -93.2127
KANB,33.5904 -85.8479
KFZG,31.6839 -83.2709
KFZY,43.3504 -76.3832
KDZJ,34.8544 -83.9973
KSJC,37.3594 -121.9244
KANW,42.5748 -99.9983
KJZI,32.7010 -80.0030
KSJN,34.5184 -109.3801
KANQ,41.6404 -85.0851
KXSA,37.8606 -76.9016
KBRD,46.4021 -94.1273
KBRL,40.7729 -91.1254
KBRO,25.9146 -97.4231
KRZL,40.9479 -87.1826
KRZN,45.8229 -92.3706
KFWC,38.3796 -88.4135
K4SL,35.7990 -107.1810
KPZQ,45.4071 -83.8129
KRZZ,36.4395 -77.7093
KRZR,35.2115 -84.7998
KNBJ,30.3891 -87.6353
KFWD,32.8350 -97.2986
KEND,36.3392 -97.9165
KHRX,34.8578 -102.3264
KCNU,37.6705 -95.4846
KNBC,32.4774 -80.7232
KCNW,31.6531 -97.0707
KENL,38.5095 -89.0900
KHRO,36.2615 -93.1547
KCNM,32.3336 -104.2584
KCNO,33.9753 -117.6361
KLRO,32.8978 -79.7829
KHRJ,35.3786 -78.7336
KHRI,45.8258 -119.2611
KCNK,39.5513 -97.6508
KLRF,34.9168 -92.1465
KCNB,44.7297 -96.2623
KLRD,27.5437 -99.4616
KDGW,42.7960 -105.3804
KBDG,37.5828 -109.4831
KBDE,48.7261 -94.6121
KBDH,45.1111 -95.1258
KOPF,25.9102 -80.2828
KBDN,44.0950 -121.2000
KBDL,41.9389 -72.6832
KBDR,41.1642 -73.1266
KBDU,40.0378 -105.2274
KVUO,45.6210 -122.6542
KVUJ,35.4167 -80.1508
KU78,42.6416 -111.5799
KNLC,36.3024 -119.9397
KUTS,30.7439 -95.5861
KUTA,34.6811 -90.3467
KFTG,39.7852 -104.5431
KDHS,44.2197 -106.1041
KDHT,36.0252 -102.5487
KFTN,28.2090 -100.0190
KFTK,37.9071 -85.9721
KJLN,37.1522 -94.4952
KFTW,32.8198 -97.3624
KSXT,42.6000 -123.3656
KEPZ,31.8731 -106.6975
KFTY,33.7776 -84.5246
KDHN,31.3213 -85.4496
K33V,40.7454 -106.2754
KNDZ,30.7044 -87.0231
KM19,35.6430 -91.1735
KWYS,44.6884 -111.1176
KM16,32.3033 -90.4085
KTBN,37.7416 -92.1407
KSKX,36.4582 -105.6724
KSVC,32.6310 -108.1466
K20V,40.0536 -106.3689
K20U,46.9252 -103.9821
K6R6,30.0481 -102.2131
KSVH,35.7636 -80.9473
K1A5,35.2228 -83.4150
KUKL,38.3025 -95.7250
KBVX,35.7259 -91.6518
KOFF,41.1183 -95.9125
KOFK,41.9855 -97.4351
KOFP,37.7081 -77.4344
KVGT,36.2120 -115.1940
KMVE,44.9675 -95.7116
KMVN,38.3284 -88.8529
KMVL,44.5359 -72.6162
KUKT,40.4368 -75.3802
KATY,44.9047 -97.1494
K1P1,43.7771 -71.7560
KCHK,35.0961 -97.9661
KRKR,35.0187 -94.6202
KRKS,41.5945 -109.0528
KRKP,28.0837 -97.0466
KGNA,47.7453 -90.3457
KTSP,35.1350 -118.4392
KRKD,44.0601 -69.0993
KTEB,40.8590 -74.0562
KIKW,43.6624 -84.2621
KIKV,41.6878 -93.5694
KTEX,37.9538 -107.9085
KIKK,41.0687 -87.8537
KCHA,35.0353 -85.2038
KIKA,44.2940 -104.6288
KTEW,42.5658 -84.4232
KGKJ,41.6258 -80.2123
KEST,43.4011 -94.7472
KGKY,32.6583 -97.0951
KESN,38.8042 -76.0690
KESC,45.7227 -87.0937
KESF,31.3963 -92.2827
KC29,43.1153 -89.5311
KPYX,36.4129 -100.7516
K9A4,34.6594 -87.3488
KPYM,41.9085 -70.7279
KHQZ,32.7470 -96.5304
KEOK,40.4615 -91.4274
KCDS,34.4275 -100.2833
KEOE,34.3061 -81.6414
KCOU,38.8169 -92.2183
KCOT,28.4567 -99.2183
KCOS,38.8095 -104.6887
KCOQ,46.6987 -92.5034
KHQU,33.5297 -82.5164
KCON,43.2049 -71.5026
KCOM,31.8411 -99.4036
KHQM,46.9727 -123.9302
KCOF,28.2422 -80.6080
KCOE,47.7743 -116.8196
KCOD,44.5202 -109.0238
KGYB,30.1715 -96.9784
KPKD,46.9006 -95.0678
KGYL,44.7588 -94.0905
KGYI,33.7141 -96.6737
KGYH,34.7583 -82.3764
KPKB,39.3451 -81.4392
KGYR,33.4224 -112.3736
KPKV,28.6516 -96.6820
KNSE,30.7285 -87.0219
KGYY,41.6121 -87.4091
KCQC,35.0028 -105.6628
KHCO,48.7525 -96.9376
KCQF,30.4600 -87.8770
KHCD,44.8596 -94.3855
K0VG,36.6541 -83.2178
KFKS,44.6252 -86.2008
KFKN,36.7003 -76.9021
KFKL,41.3779 -79.8604
KCQT,34.0235 -118.2912
KCQW,34.7128 -79.9622
KGNR,45.4646 -69.5538
KCQX,41.6875 -69.9933
KHSV,34.6439 -86.7861
KFKA,43.6770 -92.1742
KNOG,27.8947 -98.0425
KLOZ,37.0870 -84.0770
K5C1,29.7239 -98.6946
KLOU,38.2280 -85.6637
KUUU,41.5324 -71.2815
KLOR,31.3558 -85.7511
KLOL,40.0684 -118.5702
KLOM,40.1376 -75.2684
KFWB,36.6985 -93.4022
KAAF,29.7268 -85.0248
KFWA,40.9725 -85.2064
KAAA,40.1589 -89.3389
KSYN,44.4736 -93.0145
KAAO,37.7497 -97.2191
K1M4,34.2803 -87.6004
KFWN,41.1992 -74.6259
KSYF,39.7619 -101.7963
KFWS,32.5652 -97.3081
KAAT,41.4836 -120.5615
KJOT,41.5175 -88.1790
KSYR,43.1111 -76.1038
KHSI,40.6006 -98.4258
KFET,41.4489 -96.5200
KAOH,40.7081 -84.0214
KFEW,41.1409 -104.8691
KFEP,42.2475 -89.5810
KAOO,40.2964 -78.3200
KUKF,36.2188 -81.1002
KUKI,39.1278 -123.2001
KUIL,47.9375 -124.5550
KLQK,34.8100 -82.7029
KSKA,47.6151 -117.6558
KSKF,29.3842 -98.5811
KLSB,32.3335 -108.6917
KSKL,41.1350 -106.5735
K3A1,34.2687 -86.8580
KBUR,34.1997 -118.3654
KDYB,33.0630 -80.2790
KBUU,42.6909 -88.3080
KDYA,32.4638 -87.9540
KBUY,36.0475 -79.4737
KDYL,40.3302 -75.1229
KHSA,30.3678 -89.4547
KDYT,46.7245 -92.0445
KDYR,35.9980 -89.4066
KDYS,32.4208 -99.8546
KBUF,42.9400 -78.7360
KBUO,33.9333 -116.9667
KSWF,41.5045 -74.0999
KP59,47.4669 -87.8750
KJAC,43.6128 -110.7370
KSWO,36.1622 -97.0892
KJAN,32.3197 -90.0775
KJAS,30.8857 -94.0349
KSWW,32.4674 -100.4666
K3A6,34.3667 -118.5667
KJAX,30.4953 -81.6937
KS25,47.7966 -103.2552
KOGB,33.4568 -80.8595
KBIF,31.8612 -106.3692
KOGD,41.1941 -112.0168
KBIL,45.8069 -108.5422
KMWT,34.5467 -93.5781
KBIH,37.3711 -118.3581
KBIJ,31.3975 -84.8948
KMWM,43.9100 -95.1072
KMWL,32.7816 -98.0602
KBIV,42.7461 -86.0967
KMWN,44.2708 -71.3035
KMWH,47.1930 -119.3145
KMWK,36.4567 -80.5548
KBIS,46.7825 -100.7572
KBIX,30.4104 -88.9244
KMWC,43.1096 -88.0305
KOQU,41.5971 -71.4121
KOQT,36.0230 -84.2336
KBGM,42.2068 -75.9799
KVTP,37.5011 -105.1669
KBGF,35.1775 -86.0662
KBGD,35.6950 -101.3950
KBGE,30.9716 -84.6369
KOGA,41.1195 -101.7697
KM25,36.7696 -88.5847
KVTA,40.0264 -82.4634
KVTN,42.8586 -100.5514
KOQN,39.9889 -75.5803
KP38,37.6122 -114.5264
KVTI,42.2186 -92.0258
KMAI,30.8370 -85.1835
KMAO,34.1810 -79.3350
KMAN,43.5813 -116.5231
KTDR,30.0333 -85.5333
KMAF,31.9478 -102.2086
KMAE,36.9851 -120.1106
KTDZ,41.5631 -83.4764
KTDF,36.2850 -78.9842
K4I3,40.3268 -82.5201
KILN,39.4279 -83.7921
KECP,30.3490 -85.7880
KTDO,46.4772 -122.8065
KILE,31.0858 -97.6865
KILG,39.6744 -75.6057
KOGS,44.6799 -75.4642
KCSG,32.5161 -84.9422
KMWO,39.5310 -84.3953
KGHW,45.6456 -95.3188
KMWA,37.7550 -89.0111
KGPI,48.3042 -114.2636
KNRS,32.5630 -117.1109
KNRB,30.3959 -81.4229
KTWF,42.4785 -114.4774
KE11,32.3311 -102.5294
KE16,37.0816 -121.5968
KHBI,35.6527 -79.8942
KWBC,38.8500 -76.9300
KHBG,31.2694 -89.2561
K2W6,38.3154 -76.5501
KHBV,27.3496 -98.7369
KHBR,34.9894 -99.0525
KHMS,46.5667 -119.6000
KEDJ,40.3723 -83.8192
KWLD,37.1681 -97.0369
KRWL,41.8065 -107.1952
KC35,43.5264 -89.9810
K2WX,45.6044 -103.5464
KTRK,39.3200 -120.1396
KTRI,36.4797 -82.3989
KTRM,33.6267 -116.1594
KTRL,32.7092 -96.2674
KGUY,36.6817 -101.5053
KRJD,38.9701 -75.8663
KFDW,34.3150 -81.1090
KLPC,34.6656 -120.4675
KFDR,34.3444 -98.9831
KSHV,32.4469 -93.8242
KHPN,41.0624 -73.7046
KSHR,44.7603 -106.9741
KAPY,26.9688 -99.2489
KFDY,41.0136 -83.6686
KSHN,47.2381 -123.1408
KAPF,26.1554 -81.7746
KLPR,41.3461 -82.1794
KAPA,39.5599 -104.8484
KAPC,38.2132 -122.2807
KSHD,38.2638 -78.8964
KFDK,39.4177 -77.3698
KSHC,41.9308 -109.9687
KBTR,30.5378 -91.1468
KBTP,40.7769 -79.9497
KBTV,44.4682 -73.1498
KBGR,44.8074 -68.8281
KBTA,41.4148 -96.1090
KDXR,41.3715 -73.4822
KMWS,34.2258 -118.0571
KDXX,44.9839 -96.1788
KBTM,45.9647 -112.5006
